resource_id,author,year,title,doi_isbn,journal,volume_pages
31,"Ditlev, H.",2003,"New Scleractinian corals (Cnidaria: Anthozoa) from Sabah, North Borneo. Description of one new genus and eight new species, with notes on their taxonomy and ecology","",Zool. Med. Leiden,"7, 193-219"
38,"Veron, J. E. N.",1986,Corals of Australia and the Indo-Pacific,"","University of Hawaii Press, Honolulu",""
686,"Antonius, A.",1972,"Occurrence and distribution of stony corals (Anthozoa and Hydrozoa) in the vicinity of Santa Marta, Colombia","",Boletín de investigaciones marinas y costeras,"6, 89-103"
165,"Abe, N.",1939,Ecological studies on Rhizopsammia minuta var. mutsuensis ,"",Jubilee published in the commemoration of Prof. H. Yabe 60th Birthday,"1, 175-187"
53,"Glynn, P. W., Ault, J. S.",2000,A biogeographic analysis and review of the far eastern Pacific coral reef region,10.1007/s003380050220,Coral Reefs,"19, 1-23"
58,"Simpson, C. J.",1985,"Mass spawning of scleractinian corals in the Dampier Archipelago and the implications for management of coral reefs in Western Australia. Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth","","Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth",""
51,"Babcock, R. C., Wills, B. L., Simpson, C. J.",1994,Mass spawning of corals on a high latitude coral reef,10.1007/bf00301193,Coral Reefs,"13, 161-169"
63,"Berkelmans, R., Willis, B. L.",1999,Seasonal and local spatial patterns in the upper thermal limits of corals on the inshore Central Great Barrier Reef,10.1007/s003380050186,Coral Reefs,"18, 219-228"
402,"Klein, R., Loya, Y.",1991,"Skeletal growth and density patterns of two Pontes corals from the Gulf of Eilat, Red Sea",10.3354/meps077253,Marine Ecology Progress Series,"77, 253-259"
102,"Goffredo, S., Telo, T.",1998," Hermaphroditism and brooding in the solitary coral balanophyllia Europaea (Cnidaria, anthozoa, scleractinia) ",10.1080/11250009809386740,Italian Journal of Zoology,"65, 159-165"
134,"Krupp, D. A.",1983,Sexual reproduction and early development of the solitary coral Fungia scutaria (Anthozoa: Scleractinia),10.1007/bf00336722,Coral Reefs,"2, 159-164"
