95945,90581,1,1,155,57,960.0721946,960.0721946,"","","","","","","","raw_value",""
95946,90581,1,1,156,9,55.8,55.8,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95947,90582,1,1,137,48,23.59342879,23.59342879,"","","","","","","","raw_value",""
95948,90582,1,1,155,57,1685.697177,1685.697177,"","","","","","","","raw_value",""
95949,90582,1,1,156,9,29.6,29.6,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95950,90583,1,1,137,48,23.42456831,23.42456831,"","","","","","","","raw_value",""
95951,90583,1,1,155,57,1119.884341,1119.884341,"","","","","","","","raw_value",""
95952,90583,1,1,156,9,31.2,31.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95953,90584,1,1,137,48,22.99272965,22.99272965,"","","","","","","","raw_value",""
95954,90584,1,1,155,57,679.8307072,679.8307072,"","","","","","","","raw_value",""
95955,90584,1,1,156,9,24,24,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95956,90585,1,1,137,48,22.80847104,22.80847104,"","","","","","","","raw_value",""
95957,90585,1,1,155,57,314.5228376,314.5228376,"","","","","","","","raw_value",""
95958,90585,1,1,156,9,48.6,48.6,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95959,90586,1,1,137,48,22.31468008,22.31468008,"","","","","","","","raw_value",""
95960,90586,1,1,155,57,1899.253204,1899.253204,"","","","","","","","raw_value",""
95961,90586,1,1,156,9,74.2,74.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95962,90587,1,1,137,48,21.97220931,21.97220931,"","","","","","","","raw_value",""
95963,90587,1,1,155,57,623.5587367,623.5587367,"","","","","","","","raw_value",""
95964,90587,1,1,156,9,49.5,49.5,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95965,90588,1,1,137,48,21.9669409,21.9669409,"","","","","","","","raw_value",""
95966,90588,1,1,155,57,451.9493553,451.9493553,"","","","","","","","raw_value",""
95967,90588,1,1,156,9,51.2,51.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95968,90589,1,1,137,48,21.80451562,21.80451562,"","","","","","","","raw_value",""
95969,90589,1,1,155,57,902.9093226,902.9093226,"","","","","","","","raw_value",""
95970,90589,1,1,156,9,77,77,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95971,90590,1,1,137,48,21.11373404,21.11373404,"","","","","","","","raw_value",""
95972,90590,1,1,155,57,441.5001102,441.5001102,"","","","","","","","raw_value",""
95973,90590,1,1,156,9,50.4,50.4,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95974,90591,1,1,137,48,20.43375434,20.43375434,"","","","","","","","raw_value",""
95975,90591,1,1,155,57,752.3520828,752.3520828,"","","","","","","","raw_value",""
95976,90591,1,1,156,9,64.1,64.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95977,90592,1,1,137,48,20.17086221,20.17086221,"","","","","","","","raw_value",""
95978,90592,1,1,155,57,1377.788711,1377.788711,"","","","","","","","raw_value",""
95979,90592,1,1,156,9,66.1,66.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95980,90593,1,1,137,48,19.9602313,19.9602313,"","","","","","","","raw_value",""
95981,90593,1,1,155,57,575.1943298,575.1943298,"","","","","","","","raw_value",""
95982,90593,1,1,156,9,34.9,34.9,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95983,90594,1,1,137,48,19.54128566,19.54128566,"","","","","","","","raw_value",""
95984,90594,1,1,155,57,1242.12928,1242.12928,"","","","","","","","raw_value",""
95985,90594,1,1,156,9,74.2,74.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95986,90595,1,1,137,48,19.40840727,19.40840727,"","","","","","","","raw_value",""
95987,90595,1,1,155,57,64.78436696,64.78436696,"","","","","","","","raw_value",""
95988,90595,1,1,156,9,66.1,66.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95989,90596,1,1,137,48,18.16764358,18.16764358,"","","","","","","","raw_value",""
95990,90596,1,1,155,57,314.2678105,314.2678105,"","","","","","","","raw_value",""
95991,90596,1,1,156,9,68.6,68.6,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95992,90597,1,1,137,48,17.93676596,17.93676596,"","","","","","","","raw_value",""
95993,90597,1,1,155,57,1004.820073,1004.820073,"","","","","","","","raw_value",""
95994,90597,1,1,156,9,39,39,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95995,90598,1,1,137,48,17.38604965,17.38604965,"","","","","","","","raw_value",""
95996,90598,1,1,155,57,732.7816989,732.7816989,"","","","","","","","raw_value",""
95997,90598,1,1,156,9,78.3,78.3,"","","","","","","Distance across reef flat from reef crest","raw_value",""
95998,90599,1,1,137,48,17.00401318,17.00401318,"","","","","","","","raw_value",""
95999,90599,1,1,155,57,1292.779721,1292.779721,"","","","","","","","raw_value",""
96000,90599,1,1,156,9,72.1,72.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96001,90600,1,1,137,48,16.89340838,16.89340838,"","","","","","","","raw_value",""
96002,90600,1,1,155,57,358.4136686,358.4136686,"","","","","","","","raw_value",""
96003,90600,1,1,156,9,55.9,55.9,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96004,90601,1,1,137,48,16.7957971,16.7957971,"","","","","","","","raw_value",""
96005,90601,1,1,155,57,274.2249808,274.2249808,"","","","","","","","raw_value",""
96006,90601,1,1,156,9,32.7,32.7,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96007,90602,1,1,137,48,16.2791388,16.2791388,"","","","","","","","raw_value",""
96008,90602,1,1,155,57,1078.311819,1078.311819,"","","","","","","","raw_value",""
96009,90602,1,1,156,9,30.5,30.5,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96010,90603,1,1,137,48,16.15452853,16.15452853,"","","","","","","","raw_value",""
96011,90603,1,1,155,57,817.6895855,817.6895855,"","","","","","","","raw_value",""
96012,90603,1,1,156,9,11.1,11.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96013,90604,1,1,137,48,15.86496989,15.86496989,"","","","","","","","raw_value",""
96014,90604,1,1,155,57,1002.555232,1002.555232,"","","","","","","","raw_value",""
96015,90604,1,1,156,9,68.8,68.8,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96016,90605,1,1,137,48,15.43981291,15.43981291,"","","","","","","","raw_value",""
96017,90605,1,1,155,57,919.6386748,919.6386748,"","","","","","","","raw_value",""
96018,90605,1,1,156,9,26.2,26.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96019,90606,1,1,137,48,15.32236684,15.32236684,"","","","","","","","raw_value",""
96020,90606,1,1,155,57,431.7269868,431.7269868,"","","","","","","","raw_value",""
96021,90606,1,1,156,9,60.6,60.6,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96022,90607,1,1,137,48,15.30406256,15.30406256,"","","","","","","","raw_value",""
96023,90607,1,1,155,57,178.4755452,178.4755452,"","","","","","","","raw_value",""
96024,90607,1,1,156,9,71.7,71.7,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96025,90608,1,1,137,48,15.2314114,15.2314114,"","","","","","","","raw_value",""
96026,90608,1,1,155,57,896.968866,896.968866,"","","","","","","","raw_value",""
96027,90608,1,1,156,9,69.7,69.7,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96028,90609,1,1,137,48,15.16750889,15.16750889,"","","","","","","","raw_value",""
96029,90609,1,1,155,57,193.352064,193.352064,"","","","","","","","raw_value",""
96030,90609,1,1,156,9,72.2,72.2,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96031,90610,1,1,137,48,15.09437262,15.09437262,"","","","","","","","raw_value",""
96032,90610,1,1,155,57,478.5048914,478.5048914,"","","","","","","","raw_value",""
96033,90610,1,1,156,9,14.1,14.1,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96034,90611,1,1,137,48,15.0918651,15.0918651,"","","","","","","","raw_value",""
96035,90611,1,1,155,57,263.6351773,263.6351773,"","","","","","","","raw_value",""
96036,90611,1,1,156,9,58.6,58.6,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96037,90612,1,1,137,48,14.9420186,14.9420186,"","","","","","","","raw_value",""
96038,90612,1,1,155,57,1814.611029,1814.611029,"","","","","","","","raw_value",""
96039,90612,1,1,156,9,60.7,60.7,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96040,90613,1,1,137,48,14.91093872,14.91093872,"","","","","","","","raw_value",""
96041,90613,1,1,155,57,170.1799682,170.1799682,"","","","","","","","raw_value",""
96042,90613,1,1,156,9,38.3,38.3,"","","","","","","Distance across reef flat from reef crest","raw_value",""
96043,90614,1,1,137,48,14.71806119,14.71806119,"","","","","","","","raw_value",""
96044,90614,1,1,155,57,486.5025148,486.5025148,"","","","","","","","raw_value",""
