id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
31,Ditlev H,2003,"New Scleractinian corals (Cnidaria: Anthozoa) from Sabah, North Borneo. Description of one new genus and eight new species, with notes on their taxonomy and ecology",paper,ISSN 0024-0672,Zool. Med. Leiden,"7, 193-219",new species description ,0,,
32,"Zapata F, rodrÃƒÂ_guez-ramÃƒÂ_rez A, RodrÃƒÂ_guez-Moreno M , MuÃƒÂ±oz C, LÃƒÂ_pez-victoria M",2007,"CONFIRMATION OF THE OCCURRENCE OF THE CORAL PAVONA CHIRIQUIENSIS GLYNN, MATÃƒâ€° AND STEMANN (CNIDARIA: ANTHOZOA: AGARICIIDAE) IN THE COLOMBIAN PACIFIC",paper,ISSN 0122-9761,Bol. Invest. Mar. Cost,"36, 307-312","",0,,
33,Maragos J,2010,Corals of national park of american samoa,web page,"",http://www.botany.hawaii.edu/basch/uhnpscesu/htms/NPSAcorl/fish_pops/agaricii/coral02.htm,"","",0,,
34,"Lockea JM, Weila E,  Coatesb KA",2007,A newly documented species of Madracis (Scleractinia: Pocilloporidae) from the Caribbean,paper,doi: 10.2988/0006-324X,roceedings of the Biological Society of Washington ,"120, 214-226","",0,,
35,"Maxim V. Filatov, Jaap A. Kaandorp, Marten Postma, Robert van Liere, Kris J. Kruszynski, Mark J. A. Vermeij, Geert J. Streekstra and Rolf P. M. Bak",2010,A comparison between coral colonies of the genus Madracis and simulated forms,paper,doi: 10.1098/rspb.2010.0957,Proc. R. Soc. B ,"","",0,,
36,"Vermeij MJA, Diekmann OE, Bak RPM",2003,"A NEW SPECIES OF SCLERACTINIAN CORAL (CNIDARIA, ANTHOZOA), MADRACIS CARMABI N. SP. FROM THE CARIBBEAN",paper,"",Bulletin of marine science,"73, 679-684","",0,,
37,"Wallace C,  Wolstenholme ",1998,Revision of the coral genus Acropora (Scleractinia:Astrocoeniina: Acroporidae) in Indonesia,paper,"",zoological journal of the linnean society,"123, 199-384","",0,,
38,"Veron, J.E.N",1986,Corals of Australia and the Indo-Pacific. ,book,"","University of Hawaii Press, Honolulu","","",0,,
39,"Cairns SD, Parker SA",1992,"Review of the Recent Scleractinia of South Australia, Victoria,and Tasmania.",monograph,"", Rec S Austr Mus, Ser 3: 82 ,"",0,,
40,Cairns SD,1999,Species richeness of recent scleractinia,paper,"",Atoll Research Bulletin ,"459, 1-47","",1,,2013-09-09 23:14:02 UTC
41,Cairns SD,1997,A Generic Revision and Phylogenetic Analysis of the Turbinoliidae (Cnidaria: Scleractinia),paper,"",smithsonian contributions to zoology,"591, 1-64","",0,,
42,Cairns SD,1998,Azooxanthellate Scleractinia (Cnidaria: Anthozoa) of Western Australia,"","",Rec West Australian Mus ,18: 361-417.,"",0,,
43,Cairns SD,1994,Scleractinia of the temperate North Pacific,paper,"",smithsonian contributions to zoology,"557, 150","",0,,
44,Cairns SD,1991,A revision of the ahermatypic Scleractinia of the Galipagos and Cocos Islands,paper,"",smithsonian contributions to zoology,"504, 32","",0,,
45,Cairns SD,1995,The marine fauna of New Zealand: Scleractinia (Cnidaria: Antbozoa),paper,"",NZ Oceanogr Inst Mem,"103,139","",0,,
46,"Cairns SD, Keller NB",1993,"New taxa and distributional records of azooxanthellate Scleractinia from the tropical south-west Indian Ocean, with comments on their zoogeography and ecology",paper,"",Ann S Afr Mus,"103, 213-292","",0,,2014-02-24 20:43:26 UTC
47,"Cairns SD, Zibrowius H",1997,Cnidaria Anthozoa: azooxanthellate Scleractinia from the Philippine and Indonesian regions. ,paper,"", Mem Mus natn Hist nat,172: 27-243.,"",0,,
48,"Baird A, Guest J, Willis B",2009,Systematic and Biogeographical Patterns in the Reproductive Biology of Scleractinian Corals,paper,"",Annu. Rev. Ecol. Evol. Syst. ,40:551-71,"",0,,
49,"Zibrowius, H",1980,Les scleractinaires de la meditarranee et de l'atlantique nord-oriental,"","",mem inst oceanogr (monaco),"11,  284","",0,,
